B00007AVYI,A0068533X8Y5TYUJWWIC,5.0,1401148800
B001LF4EVO,A02292976AOUT3I4ZLFA,5.0,1383004800
B000PIT0RG,A0328927TA7ECTIKNP3G,4.0,1398643200
B00005N7TG,A0333047WGK24IZKLDP2,4.0,1411603200
B000IOEK7M,A0479411TZTHITJ9TFB8,5.0,1446076800
B00005N7Q5,A0534350D18UHJKPKZ1W,5.0,1437177600
B001LF4EVO,A0540974HOUD6MJ5Z0P7,5.0,1388707200
B000HWY1PG,A0743345UFTOA4V1Z7W,5.0,1412035200
B000K0YFUQ,A07456856U64LDNYL2U6,5.0,1490140800
B00005N7RO,A095896256EBDK3E42GW,1.0,1405641600
B005KTMN3I,A09643921E186LVHYON2,1.0,1409961600
B005KTMN3I,A09643921E186LVHYON2,1.0,1409961600
B005KTMN3I,A09643921E186LVHYON2,1.0,1409961600
B005KTMN3I,A09643921E186LVHYON2,1.0,1409961600
